url	answer	prompt	intermediate
2001/index.html	THE BLOB		
2001/index.html	BE GOO TO US		
2001/index.html	SIGMUND FREUD		
2001/index.html	LIE ON MY COUCH		
2001/phase1/1/index.html	STREAK		
2001/phase1/10/index.html	BLENCH		
2001/phase1/11/index.html	COEDIT		
2001/phase1/12/index.html	BENES		
2001/phase1/13/index.html	EVIDENCE THAT SOME CREATURE USUALLY THOUGHT MYTHICAL IS REAL		
2001/phase1/2/index.html	ANGLER		
2001/phase1/3/index.html	KLAXON		
2001/phase1/4/index.html	OZONE		
2001/phase1/5/index.html	HORIZON		
2001/phase1/6/index.html	ABLAZE		
2001/phase1/7/index.html	NUDIST		
2001/phase1/8/index.html	SIXTH		
2001/phase1/9/index.html	ABBA		
2001/phase2/1/index.html	SOFTEN		
2001/phase2/10/index.html	BARLEY		
2001/phase2/11/index.html	TSURIS		
2001/phase2/12/index.html	WARNING		
2001/phase2/13/index.html	MARY SHELLEY		
2001/phase2/13/index.html	THE MODERN PROMETHEUS		
2001/phase2/2/index.html	COVER		
2001/phase2/3/index.html	POPEYE		
2001/phase2/4/index.html	GHENT		
2001/phase2/5/index.html	STERLING		
2001/phase2/6/index.html	JELL		
2001/phase2/7/index.html	DEBTS		
2001/phase2/8/index.html	BITER		
2001/phase2/9/index.html	HAMAN		
2001/phase3/1/index.html	FOREMENTIONED		
2001/phase3/10/index.html	WHENCEFORWARD		
2001/phase3/11/index.html	PUBLIC AFFAIRS		
2001/phase3/12/index.html	UNCEREMONIOUS		
2001/phase3/13/index.html	SOMETHING THAT WOULD HORRIFY A CHOCOPHOBE		
2001/phase3/2/index.html	BRINKSMANSHIP		
2001/phase3/3/index.html	SENSORY CORTEX		
2001/phase3/4/index.html	TROUBLEMAKERS		
2001/phase3/5/index.html	DAUGHTER OF EVE		
2001/phase3/6/index.html	MARILYN MONROE		
2001/phase3/7/index.html	INSTRUMENTALS		
2001/phase3/8/index.html	ASTROPHYSICAL		
2001/phase3/9/index.html	BRING 2 HUNT HEADQUARTERS		
2001/phase4/01/index.html	SBARRO		
2001/phase4/02/index.html	DOGMAS		
2001/phase4/03/index.html	SPIFFY		
2001/phase4/04/index.html	NATICK		
2001/phase4/05/index.html	OWLETS		
2001/phase4/06/index.html	UNSAFE		
2001/phase4/07/index.html	NOMADS		
2001/phase4/08/index.html	NIGHER		
2001/phase4/09/index.html	UNTEAM		
2001/phase4/10/index.html	EASTER		
2001/phase4/11/index.html	ENGRAM		
2001/phase4/12/index.html	BAFFLE		
2001/phase4/13/index.html	JEANNE DIXON		
2001/phase4/13/index.html	QUE SERA SERA WHATEVER WILL BE WILL BE		
2002/cyan/A/Puzzle.html	OHMS	Answer	
2002/cyan/B/Puzzle.html	SHEER	Answer	
2002/cyan/C/Puzzle.html	ACCOST	Answer	
2002/cyan/D/Puzzle.html	KIWIS	Answer	
2002/cyan/X/Puzzle.html	LUXOR	Answer	
2002/darkblue/A/Puzzle.html	ONE SUN	Answer	
2002/darkblue/B/Puzzle.html	ALIOTH	Answer	
2002/darkblue/C/Puzzle.html	ERODE	Answer	
2002/darkblue/D/Puzzle.html	THRONE	Answer	
2002/darkblue/X/Puzzle.html	DONORS	Answer	
2002/green/A/Puzzle.html	REFLEXIVE	Answer	
2002/green/B/Puzzle.html	ALEXIS	Answer	
2002/green/C/Puzzle.html	SUBCLAVII	Answer	
2002/green/D/Puzzle.html	SEXIVALENT	Answer	
2002/green/X/Puzzle.html	BANKING	Answer	
2002/magenta/A/Puzzle.html	HIGH SIERRA	Answer	
2002/magenta/B/Puzzle.html	STRAIN DIAGRAM	Answer	
2002/magenta/C/Puzzle.html	CZECHOSLOVAKIA	Answer	
2002/magenta/D/Puzzle.html	DAMN YANKEES	Answer	
2002/magenta/X/Puzzle.html	MISERLY	Answer	
2002/orange/A/Puzzle.html	READ A RICH DRAMA FOR US BASED ON ANY OF THE SONG LYRICS	Answer	TRUE
2002/orange/B/Puzzle.html	JABBERWOCK	Answer	
2002/orange/C/Puzzle.html	NEEDLESS	Answer	
2002/orange/D/Puzzle.html	POMPEII	Answer	
2002/orange/X/Puzzle.html	BILL GATES	Answer	
2002/purple/A/Puzzle.html	DOLLAR BILL	Answer	
2002/purple/B/Puzzle.html	CORNSTARCH	Answer	
2002/purple/C/Puzzle.html	CHEMICAL COMPOUND	Answer	
2002/purple/D/Puzzle.html	STARRY-EYED	Answer	
2002/purple/X/Puzzle.html	REALTY	Answer	
2002/red/A/Puzzle.html	PAYDAY	Answer	
2002/red/B/Puzzle.html	APPLE DUMPLING	Answer	
2002/red/C/Puzzle.html	ODYSSEYS	Answer	
2002/red/D/Puzzle.html	TATAMI	Answer	
2002/red/X/Puzzle.html	MANSION	Answer	
2002/round1/02/Puzzle.html	BOURBON	Answer	
2002/round1/02/Puzzle.html	KENTUCKY	Location	
2002/round1/03/Puzzle.html	GUGGENHEIM	Answer	
2002/round1/03/Puzzle.html	NEW YORK	Location	
2002/round1/04/Puzzle.html	HAWAIIAN	Answer	
